City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Mizan Teferi,ET,2021-09-10 03:54:18,6.9833,35.5833,61.7,86,100,2.91
164,Sahibganj,IN,2021-09-10 03:54:18,25.25,87.65,89.24,64,19,5.91
165,Dapaong,TG,2021-09-10 03:54:18,10.8639,0.205,72.86,90,95,4.94
166,Qandala,SO,2021-09-10 03:54:19,11.472,49.8728,91.9,43,69,8.77
167,Atkinson,US,2021-09-10 03:54:19,42.8384,-71.147,67.51,94,90,1.01
168,Pelotas,BR,2021-09-10 03:52:41,-31.7719,-52.3425,56.86,86,100,1.99
169,Sao Joao De Pirabas,BR,2021-09-10 03:54:19,-0.7747,-47.1772,76.91,84,41,5.79
170,Samfya,ZM,2021-09-10 03:54:20,-11.3649,29.5565,65.57,57,5,10.51
171,Kismayo,SO,2021-09-10 03:54:20,-0.3582,42.5454,77.43,76,60,13.51
172,Monrovia,LR,2021-09-10 03:54:20,6.3005,-10.7969,76.82,85,100,8.1
173,Olinda,BR,2021-09-10 03:52:30,-8.0089,-34.8553,74.93,69,40,8.05
174,Iqaluit,CA,2021-09-10 03:50:33,63.7506,-68.5145,38.93,75,90,6.91
175,Tambura,SS,2021-09-10 03:54:21,5.6,27.4667,66.96,99,100,4.12
176,Marrakesh,MA,2021-09-10 03:54:21,31.6315,-8.0083,68.07,73,0,4.72
177,Jibuti,DJ,2021-09-10 03:50:33,11.5,42.5,76.42,40,85,6.4
178,Aviles,ES,2021-09-10 03:54:22,43.5547,-5.9248,64.18,88,58,5.75
179,Lagoa,PT,2021-09-10 03:54:22,39.05,-27.9833,70.65,89,2,15.01
180,Roros,NO,2021-09-10 03:54:22,62.5747,11.3842,48.04,93,90,6.91
181,Ankazoabo,MG,2021-09-10 03:54:22,-22.2833,44.5167,63.66,71,0,9.98
182,Crotone,IT,2021-09-10 03:54:23,39.0851,17.1178,59.94,63,1,3.27
183,Luba,GQ,2021-09-10 03:54:23,3.4568,8.5547,76.89,87,68,5.28
184,Victoria,HK,2021-09-10 03:48:19,22.2855,114.1577,93.96,73,84,1.99
185,Riyadh,SA,2021-09-10 03:54:24,24.6877,46.7219,80.74,18,82,9.1
186,Jacareacanga,BR,2021-09-10 03:54:24,-6.2222,-57.7528,72.63,96,93,1.97
187,Aguimes,ES,2021-09-10 03:54:24,27.9054,-15.4461,71.01,84,20,20.71
188,Klaksvik,FO,2021-09-10 03:50:35,62.2266,-6.589,49.12,71,100,10.47
189,Hwange,ZW,2021-09-10 03:54:25,-18.3693,26.5019,66.04,66,16,8.9
190,Itigi,TZ,2021-09-10 03:54:25,-5.7,34.4833,61.59,75,21,10.89
191,Boueni,YT,2021-09-10 03:54:25,-12.9025,45.0761,76.98,73,30,11.25
192,Hasanabad,IR,2021-09-10 03:54:26,36.5465,61.0543,64.62,34,0,4.61
193,Alindao,CF,2021-09-10 03:50:35,5.0267,21.2088,70.27,99,100,3.58
194,Nargana,PA,2021-09-10 03:54:26,9.4428,-78.5906,80.98,80,100,1.43
195,Uvat,RU,2021-09-10 03:54:26,59.1433,68.8953,48.18,97,100,8.95
196,Paoua,CF,2021-09-10 03:54:27,7.2427,16.4406,68.94,96,100,3.29
197,Vincennes,FR,2021-09-10 03:54:27,48.85,2.4333,68.0,90,90,1.99
198,Bull Savanna,JM,2021-09-10 03:50:36,17.8868,-77.5902,77.49,86,28,8.14
199,Midland,US,2021-09-10 03:53:04,31.9974,-102.0779,82.45,47,1,12.66
200,Arvika,SE,2021-09-10 03:54:27,59.6553,12.5852,56.1,96,100,1.77
201,West Bend,US,2021-09-10 03:53:02,43.4253,-88.1834,61.05,86,86,1.99
202,Surgut,RU,2021-09-10 03:54:28,61.25,73.4167,44.78,93,75,6.71
