,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Monte Carmelo,BR,-18.7247,-47.4986,74.17,29,3,5.59,clear sky
181,Sinop,TR,41.7711,34.8709,59.43,92,100,3.4,overcast clouds
182,Yantarnyy,RU,54.8717,19.9381,53.46,84,100,18.9,light rain
183,Brindisi,IT,40.5833,17.6667,76.14,48,97,2.64,overcast clouds
184,Pisco,PE,-13.7,-76.2167,61.02,82,85,9.22,overcast clouds
185,Caceres,ES,39.522,-6.3748,59.81,78,4,2.26,clear sky
186,Diffa,NE,13.3154,12.6113,83.28,55,21,6.87,few clouds
187,Aksarka,RU,66.5606,67.7975,41.7,85,95,13.15,overcast clouds
188,Mascote,BR,-15.5631,-39.3025,66.16,99,19,1.99,few clouds
189,Quirinopolis,BR,-18.4483,-50.4517,81.82,24,29,3.69,scattered clouds
190,Awjilah,LY,29.1081,21.2869,71.82,44,0,8.01,clear sky
191,At-Bashi,KG,41.1702,75.8106,64.09,22,9,1.86,clear sky
192,Kasimov,RU,54.9411,41.3953,41.38,85,91,9.33,overcast clouds
193,Sisimiut,GL,66.9395,-53.6735,34.02,63,15,7.49,few clouds
194,Ozerki,RU,57.6167,39.8833,39.22,87,40,6.71,scattered clouds
195,Ugoofaaru,MV,5.6667,73.0,81.91,78,87,10.45,overcast clouds
196,Bahia Honda,CU,22.9036,-83.1592,77.9,85,98,4.47,light rain
197,Zaragoza,ES,41.6561,-0.8773,68.45,74,20,7.0,few clouds
198,Zlocieniec,PL,53.5329,16.0113,63.05,98,100,5.88,overcast clouds
199,Termoli,IT,41.9888,14.9895,73.83,54,99,7.43,overcast clouds
200,Uthal,PK,25.8072,66.6219,93.0,53,0,3.02,clear sky
201,Jamestown,US,42.097,-79.2353,59.09,96,1,1.01,clear sky
202,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,81,0,1.36,clear sky
203,Rieti,IT,42.4072,12.8592,69.39,57,67,3.22,broken clouds
204,Nassau,US,40.7507,-73.5829,76.68,91,20,1.99,few clouds
205,Salalah,OM,17.0151,54.0924,80.37,86,100,2.1,overcast clouds
206,Beyneu,KZ,45.3167,55.2,71.76,33,0,1.61,clear sky
207,Moskovskiy,RU,55.5991,37.355,43.7,90,90,8.95,overcast clouds
208,Zverinogolovskoye,RU,54.4586,64.8542,58.01,62,82,10.54,broken clouds
209,Slavonice,CZ,48.9975,15.3515,64.98,94,99,4.63,light rain
210,Henderson,US,36.0397,-114.9819,93.22,14,1,0.0,clear sky
211,Mahon,ES,39.8885,4.2658,72.16,78,0,4.61,light rain
212,Waycross,US,31.2136,-82.354,76.87,100,90,0.0,overcast clouds
213,Marlborough,NZ,-41.6667,173.5,53.06,48,100,6.71,overcast clouds
214,Brewster,US,41.3973,-73.6171,74.3,89,20,0.0,few clouds
215,Yar-Sale,RU,66.8333,70.8333,41.43,88,97,9.66,overcast clouds
216,Arona,ES,28.0996,-16.681,68.31,66,20,4.61,few clouds
217,Wilmington,US,34.2257,-77.9447,78.85,88,59,4.79,broken clouds
218,Olean,US,42.0776,-78.4297,61.09,100,1,0.0,clear sky
219,Nikolsk,RU,53.7189,46.0712,45.21,89,100,7.63,overcast clouds
220,Bandarbeyla,SO,9.4942,50.8122,80.62,71,94,24.29,overcast clouds
221,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,82.78,56,10,4.54,clear sky
222,Liverpool,GB,53.4106,-2.9779,60.58,94,54,5.75,light intensity drizzle
223,Cap Malheureux,MU,-19.9842,57.6142,69.48,90,77,1.99,light rain
224,Alcaniz,ES,41.05,-0.1333,68.43,77,90,2.21,light rain
225,Paramaribo,SR,5.8667,-55.1667,79.92,88,4,8.37,clear sky
